MCFChannelGroupingPath,Conversions,Conversion Value
OrganicSearch>PaidSearch>Direct>Direct>Direct,6,311.94
PaidSearch>OrganicSearch>(unavailable)>OrganicSearch>Direct>Direct>Direct>Direct>Direct,5,28.08
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,5,0
Direct>OrganicSearch>Referral,5,0
Direct>OtherAdvertising,5,0
Direct>OtherAdvertising>Direct>Direct,5,0
(unavailable)>Direct>OrganicSearch,5,0
(unavailable)>OrganicSearch>Direct>Direct,5,0
OrganicSearch>(unavailable)>OrganicSearch,5,0
OrganicSearch>Direct>PaidSearch,5,0
OrganicSearch>Direct>Referral>Direct>Direct,5,0
Direct>(unavailable)>PaidSearch,4,0
Direct>Direct>OrganicSearch>Referral,4,0
Direct>Referral>OrganicSearch,4,0
Direct>OrganicSearch>Direct>Direct,4,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,4,0
Referral>PaidSearch>Referral,4,0
Referral>OrganicSearch>Direct,4,0
Referral>OrganicSearch>Referral,4,0
OrganicSearch>Direct>(unavailable)>Direct>PaidSearch,4,28.99
OrganicSearch>Direct>Referral>Direct,4,0
OrganicSearch>Referral>Direct>Direct,4,0
OrganicSearch>Referral>Referral,4,0
OrganicSearch>OrganicSearch>Direct>Direct,4,0
OrganicSearch>SocialNetwork,4,0
SocialNetwork>Direct>Direct,4,0
PaidSearch>(unavailable)>Direct,3,0
PaidSearch>Direct>Direct>Direct>PaidSearch,3,0
PaidSearch>PaidSearch>Direct,3,0
PaidSearch>OrganicSearch>(unavailable)>OrganicSearch,3,0
PaidSearch>OrganicSearch>Referral,3,0
PaidSearch>OrganicSearch>OtherAdvertising>Direct,3,0
Direct>(unavailable),3,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
Direct>Direct>Direct>OrganicSearch>Direct>Direct,3,0
Direct>Direct>Referral>Direct>Direct,3,0
Direct>Direct>PaidSearch>PaidSearch,3,0
Direct>Referral>Direct>Direct>Direct>Direct>Direct>Direct,3,0
Direct>PaidSearch>OrganicSearch,3,0
Direct>OrganicSearch>Referral>Direct,3,0
Direct>SocialNetwork>Direct>Referral,3,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
Referral>Direct>Direct>Direct>OrganicSearch>Direct>Direct>Direct,3,0
Referral>Direct>Referral>Direct,3,0
Referral>Direct>OrganicSearch,3,0
Referral>Referral>Direct,3,0
OrganicSearch>(unavailable)>OrganicSearch>Direct,3,0
OrganicSearch>Direct>Direct>(unavailable),3,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct,3,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,3,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>PaidSearch>Direct>Direct>Direct,3,0
OrganicSearch>Direct>Direct>PaidSearch,3,0
OrganicSearch>Direct>Direct>OrganicSearch>OrganicSearch>Direct,3,0
OrganicSearch>Direct>Direct>OtherAdvertising,3,0
OrganicSearch>Direct>(unavailable)>Direct>Direct>Direct,3,0
OrganicSearch>Direct>Referral>OrganicSearch>Direct>Direct,3,0
OrganicSearch>Referral>Direct>Direct>Direct,3,0
OrganicSearch>PaidSearch>Direct,3,0
PaidSearch>Direct>PaidSearch,2,0
PaidSearch>Direct>PaidSearch>OrganicSearch>Direct,2,0
PaidSearch>Direct>Direct>Direct>Direct>OrganicSearch>Direct,2,0
PaidSearch>Direct>Direct>PaidSearch,2,0
PaidSearch>Direct>OrganicSearch,2,0
PaidSearch>Direct>OrganicSearch>PaidSearch,2,0
PaidSearch>Referral>Direct>Direct,2,0
PaidSearch>PaidSearch>Direct>Direct,2,0
PaidSearch>PaidSearch>Direct>PaidSearch,2,0
PaidSearch>PaidSearch>Direct>PaidSearch>Direct>PaidSearch,2,0
PaidSearch>PaidSearch>PaidSearch>PaidSearch>OrganicSearch,2,0
PaidSearch>PaidSearch>PaidSearch>Direct>PaidSearch,2,0
PaidSearch>PaidSearch>PaidSearch>Direct>OrganicSearch,2,0
PaidSearch>PaidSearch>PaidSearch>OrganicSearch,2,0
PaidSearch>PaidSearch>OrganicSearch,2,0
PaidSearch>PaidSearch>OrganicSearch>Direct>Direct,2,0
PaidSearch>OrganicSearch>Direct>Direct,2,0
PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct,2,0
PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct,2,0
PaidSearch>OrganicSearch>Referral>PaidSearch>Referral,2,0
PaidSearch>OrganicSearch>PaidSearch>PaidSearch,2,0
PaidSearch>SocialNetwork>PaidSearch>Referral,2,0
PaidSearch>OtherAdvertising,2,0
Direct>(unavailable)>OrganicSearch>Direct,2,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Direct>Direct>Direct>Direct>OtherAdvertising>OrganicSearch,2,0
Direct>Direct>Direct>Direct>Direct>Referral>Direct>Direct,2,0
Direct>Direct>Direct>Direct>Referral>Direct,2,0
Direct>Direct>Direct>Direct>Referral>Direct>Direct,2,0
Direct>Direct>Direct>Direct>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Direct>(unavailable)>Direct>Direct,2,0
Direct>Direct>Direct>OrganicSearch,2,0
Direct>Direct>Direct>OrganicSearch>Direct,2,0
Direct>Direct>Direct>SocialNetwork,2,0
Direct>Direct>Direct>SocialNetwork>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Referral>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Referral>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Direct>Referral>OrganicSearch>Referral,2,0
Direct>Direct>OrganicSearch>Direct,2,0
Direct>Direct>OrganicSearch>Direct>Direct,2,0
Direct>Direct>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Display,2,0
Direct>Referral>Direct>Direct>Direct>Direct>Direct,2,0
Direct>Referral>OrganicSearch>Direct>Direct,2,0
Direct>Referral>OtherAdvertising,2,0
Direct>PaidSearch>Direct,2,0
Direct>PaidSearch>(unavailable)>OrganicSearch>Direct>PaidSearch>OrganicSearch>Direct,2,0
Direct>OrganicSearch>PaidSearch>PaidSearch,2,0
Direct>OrganicSearch>Direct>Direct>Direct,2,0
Direct>OrganicSearch>Direct>Referral>Direct>Direct,2,0
Direct>OrganicSearch>Direct>Referral>OrganicSearch,2,0
Direct>SocialNetwork>Referral>Direct>Direct>Direct,2,0
Direct>SocialNetwork>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Direct>OtherAdvertising>Referral>OtherAdvertising>Direct>Direct,2,0
(unavailable)>(unavailable)>Direct>Direct>Direct,2,0
(unavailable)>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
(unavailable)>Direct>Direct>Direct>OrganicSearch>Direct>Direct>PaidSearch,2,0
(unavailable)>OrganicSearch>Direct>Direct>Direct,2,0
(unavailable)>OtherAdvertising>Direct,2,0
Display>PaidSearch>PaidSearch,2,0
Display>OrganicSearch,2,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>PaidSearch>Referral,2,0
Referral>Direct>Direct>Direct>Direct>OrganicSearch>Referral,2,0
Referral>Direct>Direct>Direct>PaidSearch,2,0
Referral>Direct>Direct>Direct>OrganicSearch>Direct>Direct>Direct>Direct,2,0
Referral>Direct>Direct>Referral>Referral,2,0
Referral>Direct>Direct>OrganicSearch>Referral,2,0
Referral>Direct>Referral>Referral,2,0
Referral>Direct>OrganicSearch>Direct,2,0
Referral>Direct>OtherAdvertising,2,0
Referral>Direct>OtherAdvertising>Direct,2,0
Referral>Referral>Direct>Direct,2,0
Referral>PaidSearch>(unavailable)>Referral>Direct>Direct>Direct,2,0
Referral>OrganicSearch>Direct>Direct>OtherAdvertising>OrganicSearch,2,0
Referral>OrganicSearch>Referral>Direct>Direct>Direct,2,0
Referral>OrganicSearch>OrganicSearch>OrganicSearch>Direct>Referral,2,0
Referral>OrganicSearch>OrganicSearch>OrganicSearch>Direct>Referral>Direct,2,0
Referral>OtherAdvertising,2,0
OrganicSearch>Direct>Direct>Direct>Direct>PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>PaidSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>OtherAdvertising,2,0
OrganicSearch>Direct>Direct>Direct>PaidSearch>PaidSearch>PaidSearch>PaidSearch>PaidSearch>PaidSearch>Direct,2,0
OrganicSearch>Direct>Direct>Referral,2,0
OrganicSearch>Direct>Direct>Referral>Direct,2,0
OrganicSearch>Direct>Direct>PaidSearch>Direct,2,0
OrganicSearch>Direct>Direct>PaidSearch>Direct>OrganicSearch>PaidSearch,2,0
OrganicSearch>Direct>Direct>PaidSearch>OrganicSearch,2,0
OrganicSearch>Direct>Direct>OrganicSearch>OrganicSearch,2,0
OrganicSearch>Direct>Direct>OtherAdvertising>OrganicSearch,2,0
OrganicSearch>Direct>Display>OrganicSearch>Direct,2,0
OrganicSearch>Direct>OtherAdvertising>OrganicSearch>Direct,2,0
OrganicSearch>Referral>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,2,0
OrganicSearch>Referral>Referral>OrganicSearch>Referral>OrganicSearch,2,0
OrganicSearch>Referral>OrganicSearch>Direct>Direct,2,0
OrganicSearch>PaidSearch>OtherAdvertising>Direct>Direct,2,0
OrganicSearch>OrganicSearch>OrganicSearch>OrganicSearch,2,0
OrganicSearch>OtherAdvertising>Direct,2,0
OrganicSearch>OtherAdvertising>Direct>OrganicSearch,2,0
OrganicSearch>OtherAdvertising>OrganicSearch>OtherAdvertising>Referral,2,0
SocialNetwork>Direct>Direct>Direct>PaidSearch>Direct>Direct>Direct>PaidSearch,2,0
SocialNetwork>Direct>Direct>SocialNetwork>Direct>Direct,2,0
OtherAdvertising>Direct>Direct>Direct>Direct,2,0
OtherAdvertising>Direct>Direct>Direct>Direct>Direct>Referral>Direct>Direct,2,0
OtherAdvertising>Direct>Direct>Direct>Direct>Direct>Referral>Direct>Direct>Direct,2,0
OtherAdvertising>Direct>Direct>Direct>Direct>Direct>Referral>Direct>Direct>Direct>OrganicSearch>Direct>Direct>Referral>Direct,2,0
OtherAdvertising>Direct>Direct>OrganicSearch>Referral,2,0
OtherAdvertising>Direct>Direct>OrganicSearch>OtherAdvertising>OrganicSearch,2,0
OtherAdvertising>Direct>OrganicSearch,2,0
OtherAdvertising>Direct>SocialNetwork,2,0
OtherAdvertising>PaidSearch,2,0
OtherAdvertising>OrganicSearch>Direct>OtherAdvertising,2,0
OtherAdvertising>OrganicSearch>OtherAdvertising,2,0
OtherAdvertising>SocialNetwork,2,0
PaidSearch>(unavailable)>Direct>Direct,1,0
PaidSearch>Direct>PaidSearch>Direct,1,0
PaidSearch>Direct>Direct>Direct>Direct,1,0
PaidSearch>Direct>Direct>Direct>Direct>OrganicSearch,1,0
PaidSearch>Direct>Direct>OrganicSearch,1,0
PaidSearch>Referral>Direct,1,0
PaidSearch>Referral>OrganicSearch,1,0
PaidSearch>OrganicSearch>Direct>PaidSearch,1,0
PaidSearch>OrganicSearch>SocialNetwork,1,0
PaidSearch>OrganicSearch>OtherAdvertising,1,0
Direct>(unavailable)>OrganicSearch,1,0
Direct>Direct>(unavailable)>OrganicSearch,1,0
Direct>Direct>Direct>PaidSearch,1,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>Direct>Direct>Direct>PaidSearch,1,0
Direct>Direct>Direct>Direct>Direct>Direct>OrganicSearch>OrganicSearch>Referral>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>Direct>OrganicSearch,1,0
Direct>Direct>Direct>Direct>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>PaidSearch,1,0
Direct>Direct>Direct>Direct>PaidSearch>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>PaidSearch>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>Direct>OrganicSearch>OtherAdvertising>OrganicSearch>SocialNetwork>OrganicSearch,1,0
Direct>Direct>Direct>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>SocialNetwork>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Direct>OtherAdvertising,1,0
Direct>Direct>Direct>OtherAdvertising>OrganicSearch>Direct>Direct>Direct,1,0
Direct>Direct>Display>Direct>Direct>Direct>OrganicSearch>Direct>Direct>Direct>Direct>Direct,1,0
Direct>Direct>Referral>Direct>Direct>Direct,1,0
Direct>Direct>PaidSearch,1,0
Direct>Direct>PaidSearch>Direct,1,0
Direct>Direct>PaidSearch>Direct>PaidSearch>Direct,1,0
Direct>Direct>PaidSearch>Direct>PaidSearch>PaidSearch>Direct>PaidSearch>PaidSearch,1,0
Direct>Direct>OtherAdvertising>OrganicSearch,1,0
Direct>Display>Direct>Direct>Display,1,0
Direct>Referral>Direct>OrganicSearch,1,0
Direct>Referral>Referral,1,0
Direct>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Direct>OrganicSearch>Direct>Referral>Direct,1,0
Direct>SocialNetwork>Direct,1,0
Direct>SocialNetwork>Referral,1,0
Direct>OtherAdvertising>Direct,1,0
Direct>OtherAdvertising>Referral>OtherAdvertising,1,0
Direct>OtherAdvertising>OrganicSearch,1,0
(unavailable)>Direct>Direct>Direct>OrganicSearch>Direct>Direct>PaidSearch>PaidSearch>PaidSearch>PaidSearch>Direct>PaidSearch>PaidSearch>PaidSearch>Direct,1,0
(unavailable)>OrganicSearch>Direct,1,0
(unavailable)>OrganicSearch>Direct>Direct>OtherAdvertising,1,0
(unavailable)>OrganicSearch>Direct>Direct>OtherAdvertising>OrganicSearch>Direct>Direct>Direct,1,0
(unavailable)>OrganicSearch>OtherAdvertising,1,0
(unavailable)>OtherAdvertising,1,0
Display>Direct,1,0
Display>Direct>Display,1,0
Display>Display,1,0
Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
Referral>Direct>Direct>Direct>Direct>OrganicSearch,1,0
Referral>Direct>Direct>Direct>Direct>OrganicSearch>Referral>Direct,1,0
Referral>Direct>Direct>Direct>OrganicSearch,1,0
Referral>Direct>Direct>Direct>OrganicSearch>Direct,1,0
Referral>Direct>Referral>Direct>Direct>OrganicSearch>Direct>Direct>Direct>Direct,1,0
Referral>Direct>Referral>Referral>Referral>Referral>Direct,1,0
Referral>Direct>OrganicSearch>Direct>Referral>OrganicSearch>Direct,1,0
Referral>Direct>OrganicSearch>Referral>OrganicSearch,1,0
Referral>Referral>Direct>OrganicSearch>Direct>Direct>Direct>Direct,1,0
Referral>Referral>PaidSearch>Referral>PaidSearch,1,0
Referral>PaidSearch>(unavailable)>Referral>Direct>Direct,1,0
Referral>OrganicSearch>Direct>Direct,1,0
Referral>OrganicSearch>Direct>Direct>Direct,1,0
Referral>OrganicSearch>Direct>OrganicSearch,1,0
Referral>OrganicSearch>Referral>Direct>Direct>Direct>Direct,1,0
Referral>OrganicSearch>Referral>Direct>Direct>Direct>Direct>Direct,1,0
Referral>OrganicSearch>Referral>Direct>Direct>PaidSearch,1,0
OrganicSearch>(unavailable)>SocialNetwork>OrganicSearch,1,0
OrganicSearch>Direct>Direct>(unavailable)>OrganicSearch>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Direct>PaidSearch,1,0
OrganicSearch>Direct>Direct>Direct>Direct>PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Direct>PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Direct>PaidSearch>OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Direct>Direct>Direct>OrganicSearch>Direct>OrganicSearch>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>Direct>Referral>Direct>Direct,1,0
OrganicSearch>Direct>Direct>PaidSearch>Direct>OrganicSearch>PaidSearch>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Direct>PaidSearch>Direct>OrganicSearch>PaidSearch>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Direct>Display>Direct,1,0
OrganicSearch>Direct>Referral>Direct>Direct>Direct,1,0
OrganicSearch>Display>OrganicSearch>Direct>Direct,1,0
OrganicSearch>Referral>Direct>Direct>Direct>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>Referral>PaidSearch,1,0
OrganicSearch>Referral>PaidSearch>Referral>Direct>Direct,1,0
OrganicSearch>Referral>OrganicSearch,1,0
OrganicSearch>Referral>OrganicSearch>Referral>Direct>OrganicSearch>Direct>Referral>Direct,1,0
OrganicSearch>PaidSearch>Direct>Direct,1,0
OrganicSearch>PaidSearch>Referral,1,0
OrganicSearch>PaidSearch>OrganicSearch>PaidSearch,1,0
OrganicSearch>PaidSearch>OtherAdvertising>Direct>Direct>Direct>Direct>Direct,1,0
OrganicSearch>PaidSearch>OtherAdvertising>OrganicSearch,1,0
OrganicSearch>PaidSearch>OtherAdvertising>OrganicSearch>Direct,1,0
OrganicSearch>OrganicSearch>Direct,1,0
OrganicSearch>OrganicSearch>Direct>Direct>OrganicSearch>Direct>Direct>Direct,1,0
OrganicSearch>OtherAdvertising>Direct>Direct,1,0
OrganicSearch>OtherAdvertising>Direct>Direct>Direct,1,0
OrganicSearch>OtherAdvertising>OrganicSearch>OtherAdvertising,1,0
SocialNetwork>PaidSearch,1,0
OtherAdvertising>Direct>OrganicSearch>OtherAdvertising,1,0
